frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
1,1765888719212,0.0241747,0.0172301,-0.00417916,0,0,0,1,0.0419862,-0,0,0,0,0,1,0.0299928,-0,0,0,0,0,1,0.0252377,-0,0,0,0,0,1
2,1765888719246,0.0241747,0.0172301,-0.00417916,0.88442,0.248653,-0.187461,-0.347609,0.0419862,-0,0,-3.72529e-08,-0.0100253,0,0.99995,0.0299928,-0,0,2.23517e-08,-0.271565,1.49012e-07,0.96242,0.0252377,-0,0,0,0,0,1
3,1765888719279,0.0241747,0.0172301,-0.00417916,0.875077,0.256794,-0.171329,-0.372753,0.0419862,-0,0,3.72529e-09,-0.0100576,4.47035e-08,0.999949,0.0299928,-0,0,-2.23517e-08,-0.263118,0,0.964764,0.0252377,-0,0,0,0,0,1
4,1765888719312,0.0241747,0.0172301,-0.00417916,0.873264,0.253251,-0.168671,-0.380557,0.0419862,-0,0,-4.47035e-08,-0.010112,0,0.999949,0.0299928,-0,0,6.70552e-08,-0.254969,-1.04308e-07,0.966949,0.0252377,-0,0,0,0,0,1
5,1765888719345,0.0241747,0.0172301,-0.00417916,0.882759,0.229335,-0.16385,-0.375893,0.0419862,-0,0,-5.96047e-08,-0.01079,-4.47035e-08,0.999942,0.0299928,-0,0,5.96046e-08,-0.235022,2.98023e-08,0.97199,0.0252377,-0,0,0,0,0,1
6,1765888719379,0.0241747,0.0172301,-0.00417916,0.904963,0.172907,-0.166167,-0.351472,0.0419862,-0,0,2.23517e-08,-0.0101249,-8.9407e-08,0.999949,0.0299928,-0,0,-6.33299e-08,-0.180802,1.3411e-07,0.983519,0.0252377,-0,0,0,0,0,1
7,1765888719412,0.0241747,0.0172301,-0.00417916,0.931688,0.0852071,-0.174212,-0.307159,0.0419862,-0,0,2.79397e-09,-0.00778559,-1.49012e-08,0.99997,0.0299928,-0,0,5.58794e-09,-0.12605,3.72529e-08,0.992024,0.0252377,-0,0,0,0,0,1
8,1765888719445,0.0241747,0.0172301,-0.00417916,0.94519,-0.0176306,-0.180084,-0.2718,0.0419862,-0,0,-5.4948e-08,-0.0036975,1.49012e-08,0.999993,0.0299928,-0,0,8.14907e-08,-0.0634329,-3.72529e-09,0.997986,0.0252377,-0,0,0,0,0,1
9,1765888719478,0.0241747,0.0172301,-0.00417916,0.945791,-0.0984594,-0.17286,-0.256718,0.0419862,-0,0,3.72529e-08,0.000827625,-4.47035e-08,1,0.0299928,-0,0,6.14673e-08,0.0217149,5.96046e-08,0.999764,0.0252377,-0,0,0,0,0,1
10,1765888719511,0.0241747,0.0172301,-0.00417916,0.933674,-0.17372,-0.163288,-0.267227,0.0419862,-0,0,4.09782e-08,0.0045742,0,0.99999,0.0299928,-0,0,-3.72529e-09,0.154602,2.98023e-08,0.987977,0.0252377,-0,0,0,0,0,1
