frame,timestamp,node0_pos_x,node0_pos_y,node0_pos_z,node0_rot_x,node0_rot_y,node0_rot_z,node0_rot_w,node1_pos_x,node1_pos_y,node1_pos_z,node1_rot_x,node1_rot_y,node1_rot_z,node1_rot_w,node2_pos_x,node2_pos_y,node2_pos_z,node2_rot_x,node2_rot_y,node2_rot_z,node2_rot_w,node3_pos_x,node3_pos_y,node3_pos_z,node3_rot_x,node3_rot_y,node3_rot_z,node3_rot_w,node4_pos_x,node4_pos_y,node4_pos_z,node4_rot_x,node4_rot_y,node4_rot_z,node4_rot_w,node5_pos_x,node5_pos_y,node5_pos_z,node5_rot_x,node5_rot_y,node5_rot_z,node5_rot_w,node6_pos_x,node6_pos_y,node6_pos_z,node6_rot_x,node6_rot_y,node6_rot_z,node6_rot_w,node7_pos_x,node7_pos_y,node7_pos_z,node7_rot_x,node7_rot_y,node7_rot_z,node7_rot_w,node8_pos_x,node8_pos_y,node8_pos_z,node8_rot_x,node8_rot_y,node8_rot_z,node8_rot_w,node9_pos_x,node9_pos_y,node9_pos_z,node9_rot_x,node9_rot_y,node9_rot_z,node9_rot_w,node10_pos_x,node10_pos_y,node10_pos_z,node10_rot_x,node10_rot_y,node10_rot_z,node10_rot_w,node11_pos_x,node11_pos_y,node11_pos_z,node11_rot_x,node11_rot_y,node11_rot_z,node11_rot_w,node12_pos_x,node12_pos_y,node12_pos_z,node12_rot_x,node12_rot_y,node12_rot_z,node12_rot_w,node13_pos_x,node13_pos_y,node13_pos_z,node13_rot_x,node13_rot_y,node13_rot_z,node13_rot_w,node14_pos_x,node14_pos_y,node14_pos_z,node14_rot_x,node14_rot_y,node14_rot_z,node14_rot_w,node15_pos_x,node15_pos_y,node15_pos_z,node15_rot_x,node15_rot_y,node15_rot_z,node15_rot_w,node16_pos_x,node16_pos_y,node16_pos_z,node16_rot_x,node16_rot_y,node16_rot_z,node16_rot_w,node17_pos_x,node17_pos_y,node17_pos_z,node17_rot_x,node17_rot_y,node17_rot_z,node17_rot_w,node18_pos_x,node18_pos_y,node18_pos_z,node18_rot_x,node18_rot_y,node18_rot_z,node18_rot_w,node19_pos_x,node19_pos_y,node19_pos_z,node19_rot_x,node19_rot_y,node19_rot_z,node19_rot_w,node20_pos_x,node20_pos_y,node20_pos_z,node20_rot_x,node20_rot_y,node20_rot_z,node20_rot_w,node21_pos_x,node21_pos_y,node21_pos_z,node21_rot_x,node21_rot_y,node21_rot_z,node21_rot_w,node22_pos_x,node22_pos_y,node22_pos_z,node22_rot_x,node22_rot_y,node22_rot_z,node22_rot_w,node23_pos_x,node23_pos_y,node23_pos_z,node23_rot_x,node23_rot_y,node23_rot_z,node23_rot_w,node24_pos_x,node24_pos_y,node24_pos_z,node24_rot_x,node24_rot_y,node24_rot_z,node24_rot_w
1,1765961279382,0,-0,0,0,0,0,1,0.0241747,0.0172301,-0.00417916,0,0,0,1,0.0419862,-0,0,0,0,0,1,0.0299928,-0,0,0,0,0,1,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.00201244,0.0402038,0.0499528,0.99794,0.0397413,-1.86322e-09,1.73499e-18,-4.65661e-10,0,-7.27596e-12,1,0.0222621,-0,0,0,0,0,1,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.00592643,0.0538475,0.109238,0.992538,0.047809,-4.65661e-09,1.86265e-09,0,0,0,1,0.0275853,-0,0,0,0,0,1,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0063349,0.0363042,0.171781,0.984446,0.0414577,-0,0,0,0,0,1,0.0259039,-0,0,0,0,0,1,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.00419927,0.0171622,0.237633,0.971194,0.0310657,-3.72529e-09,0,0,0,0,1,0.0162693,-0,0,0,0,0,1,0.0176072,-0,0,0,0,0,1
2,1765961279389,0,-0,0,0.859769,-0.19821,0.42706,0.19792,0.0241747,0.0172301,-0.00417916,0.736771,0.204706,-0.192757,-0.614905,0.0419862,-0,0,-7.07805e-08,-0.00421274,4.47035e-08,0.999991,0.0299928,-0,0,4.09782e-08,-0.172972,-1.49012e-08,0.984927,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0595902,-0.0147358,-0.105116,0.992564,0.0397413,-1.86322e-09,1.73499e-18,-9.31323e-09,-0.00115365,1.81608e-08,0.999999,0.0222621,-0,0,6.51926e-09,-0.0422991,4.2608e-08,0.999105,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0107817,0.0614051,-0.0215284,0.997822,0.047809,-4.65661e-09,1.86265e-09,-1.68802e-09,-0.00204578,-3.71219e-08,0.999998,0.0275853,-0,0,1.02445e-08,-0.11268,4.05107e-08,0.993631,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0535641,0.0661367,0.0493441,0.995149,0.0414577,-0,0,6.0536e-09,-0.00227155,2.31666e-08,0.999997,0.0259039,-0,0,-1.21072e-08,-0.105398,-4.94765e-09,0.99443,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0704396,0.0142947,0.178684,0.981278,0.0310657,-3.72529e-09,0,-5.00586e-09,-0.000236513,8.84756e-09,1,0.0162693,-0,0,1.58107e-08,0.0189314,2.75904e-08,0.999821,0.0176072,-0,0,0,0,0,1
3,1765961279397,0,-0,0,0.85976,-0.19813,0.427031,0.198141,0.0241747,0.0172301,-0.00417916,0.736539,0.204683,-0.192908,-0.615143,0.0419862,-0,0,-8.56817e-08,-0.0042652,-2.98023e-08,0.999991,0.0299928,-0,0,-2.6077e-08,-0.172042,8.9407e-08,0.98509,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.059109,-0.0149311,-0.10514,0.992587,0.0397413,-1.86322e-09,1.73499e-18,1.21072e-08,-0.000962602,2.18861e-08,1,0.0222621,-0,0,9.31323e-10,-0.0406232,-3.67872e-08,0.999175,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0100703,0.0614703,-0.0215565,0.997825,0.047809,-4.65661e-09,1.86265e-09,-2.91038e-10,-0.00204459,1.41663e-08,0.999998,0.0275853,-0,0,-1.86265e-09,-0.112805,2.36269e-08,0.993617,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0537608,0.0661377,0.0493119,0.99514,0.0414577,-0,0,-5.82077e-09,-0.00224061,7.10133e-09,0.999997,0.0259039,-0,0,1.76951e-08,-0.105436,-4.24334e-08,0.994426,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0704234,0.0140775,0.178574,0.981302,0.0310657,-3.72529e-09,0,-4.07454e-09,0.000236727,1.25845e-07,1,0.0162693,-0,0,1.32204e-08,0.0186547,-1.41328e-07,0.999826,0.0176072,-0,0,0,0,0,1
4,1765961279405,0,-0,0,0.859752,-0.19815,0.427034,0.198149,0.0241747,0.0172301,-0.00417916,0.736105,0.204516,-0.193539,-0.615521,0.0419862,-0,0,-1.67638e-07,-0.00412083,-4.47035e-08,0.999992,0.0299928,-0,0,1.22935e-07,-0.171328,0,0.985214,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0584727,-0.0148565,-0.105113,0.992629,0.0397413,-1.86322e-09,1.73499e-18,1.30385e-08,-0.00105268,5.47152e-08,0.999999,0.0222621,-0,0,-3.72529e-09,-0.0395906,-7.05477e-08,0.999216,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.011014,0.0614485,-0.0216026,0.997816,0.047809,-4.65661e-09,1.86265e-09,2.03727e-09,-0.0024131,-2.4811e-09,0.999997,0.0275853,-0,0,0,-0.110723,1.65846e-09,0.993851,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0537777,0.0663026,0.0492742,0.99513,0.0414577,-0,0,9.54605e-09,-0.00262644,-4.30737e-08,0.999997,0.0259039,-0,0,2.79397e-09,-0.105059,2.05473e-08,0.994466,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0689602,0.0138727,0.178245,0.981469,0.0310657,-3.72529e-09,0,9.31323e-09,-0.000228251,6.21658e-08,1,0.0162693,-0,0,-1.33878e-09,0.0203513,-7.6252e-08,0.999793,0.0176072,-0,0,0,0,0,1
5,1765961279414,0,-0,0,0.859723,-0.197981,0.426952,0.198307,0.0241747,0.0172301,-0.00417916,0.737403,0.204794,-0.192593,-0.614169,0.0419862,-0,0,3.35276e-08,-0.00422524,0,0.999991,0.0299928,-0,0,-7.82311e-08,-0.174382,2.98023e-08,0.984678,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.062633,-0.0151944,-0.104311,0.992454,0.0397413,-1.86322e-09,1.73499e-18,1.86265e-08,-0.00105282,-1.15251e-07,0.999999,0.0222621,-0,0,-9.31323e-10,-0.0409343,1.28988e-07,0.999162,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.010282,0.0613112,-0.0215248,0.997834,0.047809,-4.65661e-09,1.86265e-09,-8.14907e-10,-0.00196533,8.74861e-08,0.999998,0.0275853,-0,0,-7.45058e-09,-0.111129,-9.07639e-08,0.993806,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.053689,0.0663082,0.0493349,0.995132,0.0414577,-0,0,1.86265e-09,-0.00233218,-5.42495e-08,0.999997,0.0259039,-0,0,7.45058e-09,-0.107009,4.33065e-08,0.994258,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0688797,0.0138675,0.178312,0.981462,0.0310657,-3.72529e-09,0,-1.16415e-09,-0.00025859,4.1211e-08,1,0.0162693,-0,0,-5.80621e-09,0.0203195,-5.65778e-08,0.999794,0.0176072,-0,0,0,0,0,1
6,1765961279423,0,-0,0,0.859701,-0.197939,0.426926,0.198542,0.0241747,0.0172301,-0.00417916,0.735219,0.204142,-0.194294,-0.616464,0.0419862,-0,0,-1.67638e-07,-0.00413309,5.96046e-08,0.999991,0.0299928,-0,0,1.11759e-07,-0.172292,-1.49012e-08,0.985046,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0592332,-0.0147668,-0.104892,0.992608,0.0397413,-1.86322e-09,1.73499e-18,7.45058e-09,-0.0010685,-2.30502e-08,0.999999,0.0222621,-0,0,8.3819e-09,-0.0405055,1.49012e-08,0.999179,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0111046,0.0615632,-0.0213158,0.997814,0.047809,-4.65661e-09,1.86265e-09,-5.00586e-09,-0.00202091,4.8567e-08,0.999998,0.0275853,-0,0,-5.58794e-09,-0.110985,4.43333e-09,0.993822,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0537803,0.0661798,0.0492286,0.99514,0.0414577,-0,0,1.25729e-08,-0.00226299,-1.05938e-08,0.999997,0.0259039,-0,0,-3.72529e-09,-0.105404,2.14786e-08,0.994429,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237632,0.971194,0.0683506,-0,0,0.0694478,0.0137027,0.178238,0.981438,0.0310657,-3.72529e-09,0,1.5134e-09,0.000192494,-6.63567e-09,1,0.0162693,-0,0,6.28643e-09,0.0210855,1.18744e-08,0.999778,0.0176072,-0,0,0,0,0,1
7,1765961279430,0,-0,0,0.85971,-0.197826,0.426886,0.198662,0.0241747,0.0172301,-0.00417916,0.73657,0.204422,-0.193543,-0.614994,0.0419862,-0,0,-6.70552e-08,-0.00414684,-1.49012e-08,0.999991,0.0299928,-0,0,1.00583e-07,-0.172579,4.47035e-08,0.984996,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0584464,-0.0144549,-0.10477,0.992672,0.0397413,-1.86322e-09,1.73499e-18,4.65661e-09,-0.00114809,5.09899e-08,0.999999,0.0222621,-0,0,1.39698e-08,-0.0392641,8.3819e-09,0.999229,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0110952,0.0616565,-0.0212039,0.99781,0.047809,-4.65661e-09,1.86265e-09,-1.16415e-09,-0.00200104,5.99466e-08,0.999998,0.0275853,-0,0,-3.72529e-09,-0.110931,-8.84438e-08,0.993828,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0537682,0.0661695,0.049285,0.995139,0.0414577,-0,0,1.16415e-09,-0.00226663,6.0536e-09,0.999997,0.0259039,-0,0,-6.51926e-09,-0.105249,-7.27596e-09,0.994446,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0707719,0.0140213,0.178535,0.981285,0.0310657,-3.72529e-09,0,-5.47152e-09,0.000241371,5.40167e-08,1,0.0162693,-0,0,2.40543e-08,0.0195562,-1.05472e-07,0.999809,0.0176072,-0,0,0,0,0,1
8,1765961279439,0,-0,0,0.859763,-0.197667,0.426897,0.19874,0.0241747,0.0172301,-0.00417916,0.73805,0.204775,-0.1924,-0.613459,0.0419862,-0,0,-1.04308e-07,-0.00432323,5.96046e-08,0.999991,0.0299928,-0,0,1.49012e-07,-0.174605,-1.19209e-07,0.984639,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0584672,-0.0141261,-0.104535,0.992701,0.0397413,-1.86322e-09,1.73499e-18,1.95578e-08,-0.00144382,4.35393e-08,0.999999,0.0222621,-0,0,-6.51926e-09,-0.0390849,-3.93484e-08,0.999236,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0110862,0.0617123,-0.0210877,0.99781,0.047809,-4.65661e-09,1.86265e-09,-1.33878e-09,-0.00198028,1.01863e-09,0.999998,0.0275853,-0,0,9.31323e-10,-0.110857,1.44623e-08,0.993836,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0537301,0.0661779,0.0493518,0.995137,0.0414577,-0,0,4.42378e-09,-0.00229584,-1.52504e-08,0.999997,0.0259039,-0,0,-5.58794e-09,-0.105499,-2.12458e-08,0.994419,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0688476,0.0134515,0.17827,0.981478,0.0310657,-3.72529e-09,0,8.26549e-09,0.000671995,-5.30854e-08,1,0.0162693,-0,0,-2.35741e-09,0.0197455,1.11992e-07,0.999805,0.0176072,-0,0,0,0,0,1
9,1765961279447,0,-0,0,0.859769,-0.197584,0.42694,0.198694,0.0241747,0.0172301,-0.00417916,0.737745,0.204776,-0.19266,-0.613744,0.0419862,-0,0,4.09782e-08,-0.00430079,-4.47035e-08,0.999991,0.0299928,-0,0,2.98023e-08,-0.173768,1.49012e-08,0.984787,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0584924,-0.0140124,-0.104442,0.992711,0.0397413,-1.86322e-09,1.73499e-18,-2.79397e-09,-0.00152226,1.67638e-08,0.999999,0.0222621,-0,0,-1.39698e-08,-0.0390026,6.98492e-10,0.999239,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0111576,0.0618947,-0.0208751,0.997802,0.047809,-4.65661e-09,1.86265e-09,-2.2701e-09,-0.00200433,-3.42625e-08,0.999998,0.0275853,-0,0,-9.31323e-10,-0.111037,9.15061e-08,0.993816,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0536513,0.0663698,0.0493417,0.995129,0.0414577,-0,0,6.75209e-09,-0.00236506,-3.55067e-08,0.999997,0.0259039,-0,0,2.79397e-09,-0.107442,4.19095e-08,0.994211,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237632,0.971194,0.0683506,-0,0,0.0688152,0.0136263,0.178277,0.981477,0.0310657,-3.72529e-09,0,-8.14907e-09,0.000218244,2.6077e-08,1,0.0162693,-0,0,9.73523e-09,0.0200234,-5.41331e-08,0.999799,0.0176072,-0,0,0,0,0,1
10,1765961279455,0,-0,0,0.859765,-0.197593,0.426942,0.198698,0.0241747,0.0172301,-0.00417916,0.737596,0.204598,-0.192736,-0.613959,0.0419862,-0,0,-7.07805e-08,-0.00431056,2.98023e-08,0.999991,0.0299928,-0,0,1.30385e-07,-0.174487,-4.47035e-08,0.984659,0.0252377,-0,0,0,0,0,1,0.0276028,0.0124683,0.00172939,-0.00201244,-0.0402038,-0.0499528,0.99794,0.0725776,4.65661e-10,-1.39698e-09,0.0584876,-0.0141626,-0.104394,0.992714,0.0397413,-1.86322e-09,1.73499e-18,1.11759e-08,-0.00104369,-8.26549e-08,0.999999,0.0222621,-0,0,1.49012e-08,-0.0391997,9.87202e-08,0.999231,0.0195415,-0,0,0,0,0,1,0.0238547,0.000181863,0.00397901,-0.00592643,-0.0538475,-0.109238,0.992538,0.0731168,3.72529e-09,-1.86265e-09,0.0112998,0.0622083,-0.0206743,0.997785,0.047809,-4.65661e-09,1.86265e-09,-1.97906e-09,-0.00242924,-2.72121e-08,0.999997,0.0275853,-0,0,1.86265e-09,-0.110208,3.35051e-08,0.993908,0.0224241,-0,0,0,0,0,1,0.0202811,-0.0127223,0.00175833,-0.0063349,-0.0363042,-0.171781,0.984446,0.0700907,-0,-4.65661e-10,0.0536591,0.0665142,0.0493253,0.99512,0.0414577,-0,0,9.0804e-09,-0.00269523,-1.46683e-08,0.999996,0.0259039,-0,0,2.79397e-09,-0.107097,3.3644e-08,0.994249,0.0208579,-0,0,0,0,0,1,0.0167073,-0.0256269,-0.000462327,-0.00419927,-0.0171622,-0.237633,0.971194,0.0683506,-0,0,0.0674847,0.0133544,0.17802,0.981619,0.0310657,-3.72529e-09,0,6.98492e-10,0.000230228,-6.54254e-08,1,0.0162693,-0,0,1.09867e-08,0.0201434,1.14785e-07,0.999797,0.0176072,-0,0,0,0,0,1
